nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,no_telepon,no_fax,jenis_usaha,kapasitas
Gokana,"Mal Puri Indah, Jl. Puri Agung Raya Lt. II",PT. Champ Resto Indonesia,"Drs.Yunus Ciptawilangga, MBA",Jakarta Barat,021 5822378,021 5822378,Restoran,10/40/B
Gokana,"Mal Ciputra, Jl. Arteri S.Parman",PT. Champ Resto Indonesia,Hanjaya Limanto,Jakarta Barat,021 5662121,021 5662255,Restoran,10/40/B
Gokana,"Plaza Slipi Jaya, Jl. Letjen.S.Parman Lt.1 Kav. 17",PT. Champ Resto Indonesia,Ali Gunawan Budiman,Jakarta Barat,,,Restoran,30/80/A
Gokana Teppan & Ramen,"Taman Anggrek Mal, Jl. Letjen. S. Parman",PT. Champ Resto Indonesia,"Drs. Yunus Ciptawilangga, MBA",Jakarta Barat,,,Restoran,20/60/A
Golden Crown,"Plaza Glodok, Jl. Pinangsia Raya No. 1",PT. Mahkota Aman Sentosa,Rudy Gunawan,Jakarta Barat,021 62302888,021 62302878,Restoran,15/60/A
Golden Star,Jl. Taman Ratu Kemuning Blok. F1/01 A-B-C-D,PT. Baramega Boga Lestari,SIMON TEH,Jakarta Barat,021 65868428,021 65868427,Restoran,40/200/A
Grand Hwa Yen,Jl. Roa Malaka Utara No. 30,PT. Deli Boga Prima,Wahid Sofian,Jakarta Barat,,,Restoran,27/270/A
Grand Monggo Mas,Jl. Daan Mogot No. 49 RT005/RW003,,Ivan Doly,Jakarta Barat,,,Restoran,10/40/B
Grand Ollimo,Jl. Hayam Wuruk No. 102,PT.Hajasa Bersaudara,Harryanto BK,Jakarta Barat,021 6260606,021 6260606,Restoran,15/120/A
Grand Paragon,Jl. Gajah Mada No. 126,PT. Gajah Mada Square,Theressia,Jakarta Barat,021 6258822,021 6252111,Restoran,10/50/B
Grandma Suki,Jl. Puri Indah Raya Blok U1 Lt. 1-3,PT. Grandma Food International,Zuhari Lowis,Jakarta Barat,,,Restoran,10/40/B
Grandma Suki,"Puri X'tertainment, Jl. Puri Indah Raya Blok U1 Lt.",PT. Grandma Food International,Zuhari Lowis,Jakarta Barat,,,Restoran,10/40/B
Hachi Hachi Bistro,Jl. Letjen. S. Parman Kav. 21,CV.Delapan Delapan Sejahtera,Alfred Charano,Jakarta Barat,021 56999527,021 56999527,Restoran,14/50/B
Hachi Hachi Bistro,"Central Park, Jl. Letjen. S. Parman Kav. 28",CV. Delapan Delapan Sejahtera,Alfred Charano,Jakarta Barat,021 56985592,021 56985592,Restoran,12/50/B
Hakata Ikkousha,"Mal Taman Anggrek, Jl. Letjen. S. Parman Kav. 2",PT. Swastika Sukses Perkasa,David Halim,Jakarta Barat,021 5643777,021 5642777,Restoran,10/50/B
Han Gang,"Mal Taman Anggrek, Jl. Letjen. S. Parman Kav. 2",PT. Prioritas Prima Ideal,Arifin Leo,Jakarta Barat,021 5639499,021 5639499,Restoran,35/42/B
Hanamasa,"Mal Puri Indah, Jl. Puri Agung Raya",PT. Adi Boga Cipta,"H. Rachmatullah, SE",Jakarta Barat,021 5822464,021 5822464,Restoran,18/72/A
Hanamasa,Jl. Puri Agung Raya,PT. Adi Boga Cipta,"Rachmatullah, SE",Jakarta Barat,021 5822464,,Restoran,18/72/A
Hanamasa,"Mal Taman Anggrek, Jl. Letjen. S.Parman",PT. Adi Boga Cipta,H.Rachmatullah,Jakarta Barat,021 84598792,021 84598792,Restoran,15/50/B
Handels,Jl. Kopi No. 18A RT005/RW001,PT. Vector Tri Cokro,Bambang Sulistio,Jakarta Barat,,,Restoran,25/90/A
Handel's,Jl. Kopi No. 18A RT005/RW001,PT. Vector Tri Cokro,Bambang Sulistio,Jakarta Barat,021 6900808,021 6900707,Restoran,25/90/A
Happy Puppy,"Komp. Mutiara Taman Palem, Jl. Lingkar Luar Barat Blok A ",CV.Harmoni Kreasi,Hadisaputra Sugianto,Jakarta Barat,021 54356258,021 54356257,Restoran,10/40/B
Happy Puppy,Jl. Raya Panjang Blok. Z2/41-42,PT. Cipta Happy Sempurna,Iwan Sunaryo,Jakarta Barat,021 5816606,021 5816605,Restoran,20/80/A
Hay Thien,Jl. Mangga Besar I No. 34,Lanny Tjokro,Lanny Tjokro,Jakarta Barat,021 58353347,021 58353347,Restoran,10/40/B
Hay Thien,Jl. Puri Indah Raya Blok A No. 1,Basuki Samsudin,Basuki Samsudin,Jakarta Barat,021 58353347,021 58353347,Restoran,10/37/B
Haze,"THR. Lokasari Blok A/33-39, Jl. Mangga Besar",PT. Hanggar Mitra,Djohari Zainurdin,Jakarta Barat,,,Restoran,10/40/B
Haze,"Komp. Lokasari, Jl. Mangga Besar A/33-39",PT. Hanggar Mitra,Djohari Zainurdin,Jakarta Barat,,,Restoran,10/40/B
Healthy Choice,"Komp. Graha Mas, Jl. Raya Pejuangan Blok A",PT. Indospirit Natura,Stephanus Kurniadi S,Jakarta Barat,021 5305665,021 5303950,Restoran,10/28/B
Henis,Jl. Raya Mangga Besar No. 2-F,Pudjiyanto Laimena,Pudjiyanto Laimena,Jakarta Barat,021 6296501,021 6296501,Restoran,10/40/B
Hipsies Kitchen And Bar,"Central Park, Jl. Letjen S. Parman",PT. Boga Karya Sakti,Adrianus Eka Putra,Jakarta Barat,021 83838201,021 56985336,Restoran,10/50/B
Hm. Karaoke,"Gd. Season City Lt. 3, Jl. Latumenten No. 33",PT. Arena Sarana Gembira,Sudjadi Budiono,Jakarta Barat,021 6827218,021 6827218,Restoran,30/120/A
Hog's Breath Café,"Central Park TGF 15, Jl. Letjen. S. Parman Kav. 2",PT. Indophoenix Global,Rio Hermanto,Jakarta Barat,021 56988888,021 56985070,Restoran,28/124/A
Hokben,Jl. Tanjung Duren I No. 360B,PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,,,Restoran,20/80/A
Hokben,Jl. Pesanggrahan Raya No. 12A,PT. Eka Boga Inti,Hendra Arifin,Jakarta Barat,,,Restoran,10/35/B
Hokben,"Matahari Mal, Jl. Daan Mogot Km. 15.6",PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,021 65784220,021 65784220,Restoran,53/106/A
Hokben,"Mal Puri Indah, Jl. Puri Agung Raya Lt. 2 Unit 241",PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,021 5822733,021 582744,Restoran,31/112/A
Hokben,Jl. Mangga Besar Raya No. 85D,PT. Eka Boga Inti,Hendra Arifin,Jakarta Barat,,,Restoran,20/80/A
Hokben,"Central Park, Jl. Letjen. S. Parman",PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,021 3862975,021 3862975,Restoran,20/80/A
Hokben,"Seasons City, Jl. Prof. Dr. Latumenten No. 33",PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,,,Restoran,30/60/A
Hokben,"Mal Ciputra, Jl. Tanjung Duren Utara",PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,021 5661616,021 5661919,Restoran,44/166/A
Home Town,Jl. Labu No. 10 RT002/RW006,Abdoellah Oely Situmeang,Abdoellah Oely Situmeang,Jakarta Barat,,,Restoran,8/32/B
Home Town,Jl. Labu No. 10 RT002/RW006,Abdoellah Oely Situmeang,Abdoellah Oely Situmeang,Jakarta Barat,,,Restoran,8/32/B
Hong Men,Jl. Labu No. 1B dan 1C RT001/RW006,PT. Sahabat Kuliner Maju Bersama,Kardiman,Jakarta Barat,,,Restoran,27/128/A
Hongkong Cafe,"Central Park, Jl. Letjen S. Parman Kav. 28",PT. Arena Multiboga,Michael Sofian Utomo,Jakarta Barat,021 56988888,021 56985100,Restoran,15/45/B
Hongkong Jumbo,Jl. Raya Arteri Kelapa Dua No. 29,PT. Vita Prodana,Darwis Syahrial,Jakarta Barat,021 5364742,021 5364742,Restoran,25/100/A
Hua Ming Lou,Jl. Gajah Mada No. 147,,Susana Iskandar,Jakarta Barat,,,Restoran,10/80/A
Hua Shen,"THR Lokasari, Jl. Mangga Besar Raya No. 81",PT. Kemilau Pangan Citra,Evelyne Kioe,Jakarta Barat,,,Restoran,10/40/B
Hunan Kitchen,Jl. Mangga Besar I No. 61ML,PT. Hunan Cita Rasa,Regina Halim,Jakarta Barat,021 6915910,021 6252666,Restoran,18/90/A
Hungry Hiro,"Gd. Seasons City Lantai II Ubit A03&A07, Jl. Prof. Latumenten No. 33",PT. Takemori Asia Abadi,Leily Rosalia Gema,Jakarta Barat,,,Restoran,10/40/B
Hungry Town,Jl. Tanjung Duren Utara I,PT. Popindo Selera Prima,Benny Hadisurjo,Jakarta Barat,021 5666676,021 5606571,Restoran,20/80/A
I - Ta Suki,"Central Park, Jl. Letjen. S. Parman Kav. 28",PT. Damai Berkat Bersaudara,Simon Nurgiri Simansjah,Jakarta Barat,021 66601633,021 66601633,Restoran,10/40/B
Ichiban Sushi,"Puri Indah Mal, Jl. Puri Agung Raya",PT. Brostindo Prima Indonesia,Sumarno Ngadiman,Jakarta Barat,,,Restoran,10/40/B
Ichiban Sushi,Jl. Tanjung Duren Utara I,PT. Brostindo Prima Indonesia,Teddy Harsono,Jakarta Barat,,,Restoran,10/40/B
Ikkudo Ichi,"Central Park, Jl. Letjen. S. Parman Kav. 28",PT. Mie Sentral Sejahtera,Irene Tjahyadi,Jakarta Barat,,,Restoran,10/50/B
Illigal's,Jl. Hayam Wuruk No. 108,PT. Sumber Sejahtera Sempurna,Khoe Yam Kusuma,Jakarta Barat,021 6298899,021 6298899,Restoran,13/40/B
Imperial Cakery,"Siloam Hospitals, Jl. Raya Pejuangan Kav. 8",PT. Adicipta Boga Intiprima,Abigail Djojonegoro,Jakarta Barat,,,Restoran,10/40/B
Imperial Cakery,Jl. Letjen. S.Parman,PT.Adicipta Boga Intiprima,Abigail Djojonegoro,Jakarta Barat,021 3858245,,Restoran,10/48/B
Imperial Chef,"Mal Taman Anggrek, Jl. Letjen. S.Parman Kav. 2",PT. Selera Utama Makmur,Ibin Bachtiar,Jakarta Barat,021 5639478,021 5639478,Restoran,35/130/A
Imperial Chef,Jl. Hayam Wuruk No. 126,PT. Selera Pangeran Jayakarta,Lin Manuhutu,Jakarta Barat,021 6262534,021 62647319,Restoran,50/250/A
Inul Vizta,Jl. Letjen. S.Parman Kav. 21,PT. Edelwais Abadi International,Tjoeng Mie Lia,Jakarta Barat,021 5639977,021 5639977,Restoran,2/15/C
Inul Vizta,Komp. Ruko Sunrise Garden Blok X No. 5-7,CV. Vizta Inti Gemilang,Jemmy Robert,Jakarta Barat,,,Restoran,10/40/B
Inul Vizta Family Ktv,"Central Park, Jl. Letjend. S. Parman Kav. 28",CV. Vizta Central Park,Wisnu Go,Jakarta Barat,,,Restoran,5/10/C
Jade Imperial,Jl. Gajah Mada No. 126,PT.Citra Rasa Ninusa,Juliana Tandiono,Jakarta Barat,,,Restoran,20/80/A
Jakarta Fried Chicken,"RS. Harapan Kita, Jl. Letjen.S.Parman Kav. 87",PT.Ekalaya Saputra,Kresna Ekalaya,Jakarta Barat,021 5683063,021 5683063,Restoran,10/40/B
Jala Jala,"Mal Taman Anggrek, Jl. Letjen S. Parman No. 21",CV. Inti Sari Laut,Suman Yamin,Jakarta Barat,021 5639072,021 5639072,Restoran,10/50/B
Joni Steak,Jl. Gajah Mada No. 91 RT006/RW006,,Joni Samsul Bahri,Jakarta Barat,,,Restoran,17/72/A
Jun Njan,"Puri Indah Mall, Jl. Puri Agung Raya Lt. 2 No. 203",PT. Sedap Buat Kemakmuran,Bobby Chandra,Jakarta Barat,021 58353698,021 58353698,Restoran,20/80/A
Jun Njan,"Central Park Lt. LG, Jl. Tanjung Duren Raya",PT. Saputra Perkasa Abadi,Ferry Saputra,Jakarta Barat,,,Restoran,18/50/B
K - One,"Kedoya Center A - 3, Jl. Raya Pejuangan No. 1R",-,Leonardi Wiraatmadja,Jakarta Barat,021 5333888,021 5401131,Restoran,10/40/B
Kafe Batavia,Jl. Pintu Besar Utara No. 14,PT. Kafé Batavia Fatahillah,Leonard Pandy Phua,Jakarta Barat,021 6915531,021 6923842,Restoran,50/250/A
Kafe Betawi,"Central Park, Jl. Letjen.S.Parman Kav. 28",PT. Citra Rasa Betawi,Johannes Peddy W,Jakarta Barat,021 7500382,021 7500382,Restoran,15/50/B
Kamseng,Jl. Mangga Besar I No. 26,Noor Haslim,Noor Haslim,Jakarta Barat,,,Restoran,10/50/B
Kemangi,Jl. Ruko Puri Indah Blok.A No. 6,Sarni,Sarni,Jakarta Barat,,,Restoran,10/40/B
Kenny Rogers,Jl. Puri Agung,PT. Boga Lestari Sentosa,Budhi Purnama Utomo,Jakarta Barat,,,Restoran,15/50/B
Kenny Rogers,Jl. Puri Agung,PT. Boga Lestari Sentosa,Budhi Purnama Utomo,Jakarta Barat,,,Restoran,15/50/B
Kentucky Fried Chicken,"Mal Taman Anggrek, Jl. Letjen. S. Parman",PT. Fast Food Indonesia,Rudy Tanudjaya S,Jakarta Barat,,,Restoran,15/50/B
Kentucky Fried Chicken,Jl. Tomang Tol Raya No. 50,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,021 5800962,021 5800962,Restoran,38/78/A
Kentucky Fried Chicken,THR. Lokasari Blok C No. 1,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,,,Restoran,20/80/A
Kentucky Fried Chicken,"Komp. Citraland Lt. V No. 14-16, Mal Ciputra",PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,021 5681539,021 5681539,Restoran,45/180/A
Kentucky Fried Chicken,"Taman Semanan Indah, Jl. Raya Duri Kosambi",PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,,,Restoran,20/50/B
Kentucky Fried Chicken,"Plaza Glodok, Jl. Pinangsia Raya",PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,021 62302849,021 62302849,Restoran,12/60/A
Kentucky Fried Chicken,"Season City, Jl. Jembatan Besi No. 33",PT. Fast food Indonesia,Rudy Tanudjaja S,Jakarta Barat,,,Restoran,10/50/B
Kentucky Fried Chicken,Jl. Taman Stasiun Kota No. 1 RT006/RW006,"PT. Fast Food Indonesia, Tbk",Rudy Tanudjaya S,Jakarta Barat,021 8301133,,Restoran,10/50/B
Kentucky Fried Chicken,Jl. Raya Gajah Mada No. 126,PT. Fast food Indonesia,Rudy Tanudjaya S.,Jakarta Barat,021 8301133,021 8309384,Restoran,65/146/A
Kentucky Fried Chicken,Jl. Tanjung Duren Raya No. 34,PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,,,Restoran,15/50/B
Kentucky Fried Chicken,Jl. Raya Kebayoran Lama Pal 7 No. 24 Lt.3,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,,,Restoran,94/188/A
Kentucky Fried Chicken,"Komp. Daan Mogot, Jl. Kintamani Raya, Jl. Tanah Lot ",PT. Fast food Indonesia,Rudy Tanudjaya,Jakarta Barat,,,Restoran,15/50/B
Kentucky Fried Chicken,Jl. Daan Mogot No. 163A,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,021 5662766,021 5662766,Restoran,35/140/A
Kentucky Fried Chicken,Jl. Lingkar Luar Barat RT001/RW002,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,021 8301133,021 8301133,Restoran,46/102/A
Kentucky Fried Chicken,"Mal Puri Indah, Jl. Puri Agung",PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,,,Restoran,15/50/B
Kentucky Fried Chicken,Jl. Tanjung Duren Raya No. 34,PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,,,Restoran,15/50/B
Kentucky Fried Chicken,Jl. Kebon Jeruk Raya 8 RT006/RW012,PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,,,Restoran,10/50/B
Kentucky Fried Chicken,"Roxi Square, Jl. Kyai Tapa No. 1",PT. Fast food Indonesia,Rudi Tanudjaya Saputra,Jakarta Barat,021 56953933,021 56953933,Restoran,108/216/A
Kentucky Fried Chicken,"Hypermart Puri Indah, Jl. Puri Indah Raya",PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,,,Restoran,20/80/B
Kentucky Fried Chicken,Jl. Hayam Wuruk No. 103,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,021 6393319,021 6393319,Restoran,48/192/A
Kin No Taki,"Ciputra Mal, Jl.Tanjung Duren Raya",PT. Ryori Nusantara,Arifin Siman,Jakarta Barat,021 3500123,021 3504567,Restoran,15/60/A
King Nursijan,Ruko Taman Palem Lestari Blok D1 No. 18,,Irwan Harnoko,Jakarta Barat,,,Restoran,8/32/B
Kitchenette,"Central Park Mall Ground Floor, Jl. Letjen.S. Parman",PT. Kitchenette Lestari,Brian Ivan Sutanto,Jakarta Barat,,,Restoran,15/50/B
Kiyadon,"Mal Taman Anggrak, Jl. Letjend. S. Parman",PT. Jaya Indonippon Abadi,Ramon B Liando,Jakarta Barat,021 56999599,021 56999599,Restoran,10/40/B
Kiyadon Sushi,"Central Park, Jl. Tanjung Duren Raya Kav. 5 - 9",PT. Kaiten Jaya Abadi,Ramon Benyamin Liando,Jakarta Barat,,,Restoran,20/50/B
Kiyadon Sushi,"Puri Indah CBD, Jl. Puri Indah Raya Blok U1",PT. Jaya Indonippon Abadi,Ramon Benyamin Liando,Jakarta Barat,,,Restoran,15/50/A
Kopitiam,Jl. Letjen. S. Parman Kav. 28,PT. Bagus Kopitiam International,Norman Soelystio,Jakarta Barat,,021 0231-108,Restoran,15/50/B
Kopitiam,"Mal Taman Anggrek, Jl. Letjen S. Parman",PT. Bagus Kopitiam International,Norman Soelystio,Jakarta Barat,,,Restoran,26/52/B
Kopitiam,Jl. Letjen. S. Parman Kav. 28,PT. Bagus Kopitiam International,Norman Soelystio,Jakarta Barat,,021 0231-108,Restoran,15/50/B
Kuahnya,Ruko Taman Palem Lestari D1 No. 19,,Hiu Marsono,Jakarta Barat,021 5560763,,Restoran,12/50/B
L&L Hawaiian Barbecue,"Mal Central Park Lt. 3 Unit L3-121, Jl. Letjen. S.Parman",PT. Mulia Cita Rasa,Norman Wijaya,Jakarta Barat,,,Restoran,8/32/B
La Biere,"Central Park TGF Floor, Jl. Letjen. S. Parman ",PT. Diva Sutan Kuliner,Eva Tanuri,Jakarta Barat,,,Restoran,30/150/A
La Finestra Ristorante,"Central Park, Jl. Letjen.S.Parman Kav. 28",PT. Meranti Magsaysay,"Baheramsyah Jayanegara, SH",Jakarta Barat,021 3908812,021 3908893,Restoran,35/80/A
Lac Mei Che Huo Kuo,Jl. Mangga Besar I No. 63,PT.Lac Mei Che Indonesia,Lie Hok Nen,Jakarta Barat,,,Restoran,15/60/A
Lavicas Cafe,Jl. Panjang Arteri Kelapa Dua No. 29,PT. Vita Prodana,Darwis Syahrial,Jakarta Barat,021 53670165,021 53664742,Restoran,12/50/B
Le Vintage Wine & Spirit,"Lotte Mart Taman Surya, Jl. Taman Surya V",PT. Dima Rioja Internasional,Iskandar Budianto,Jakarta Barat,,,Restoran,8/40/B
Lei Garden,Jl. Gajah Mada No. 188 Blok A1,PT. Aritama Mandiri,Nanang,Jakarta Barat,,,Restoran,40/200/A
Liebar,"Central Park Mall Lt. 8 Lot 3A, Jl. Letjend S. Parman",PT. Nebula Interten,Irwan Gunawan Lie,Jakarta Barat,,,Restoran,20/60/A
Little Penang,"Mal Puri Indah, Jl. Puri Agung",PT. Panca Mitrasari Lestari,Bernt Hanlee Ramli,Jakarta Barat,,,Restoran,15/60/A
Little Penang,Jl. Puri Agung,PT.Panca Mitrasari Mandiri,Bernt Hanlee Ramli,Jakarta Barat,,,Restoran,15/60/A
Little Sheep Shabu Shabu,"Apartemen Mediterania, Jl. Gajah Mada No. 174",PT. Prima Selera,Srie Martina,Jakarta Barat,021 57944281,021 57944282,Restoran,25/136/A
Liyen,Jl. Asemka Raya No. 168A,Edwin Sutowo Elititin,Edwin Sutowo Elititin,Jakarta Barat,021 6930108,,Restoran,10/40/B
Luciole Bistro,"Central Park Mall, Jl. S. Parman Kav. 28",PT. Ester Bogatama Raya,Emmy Majanirmala,Jakarta Barat,021 56988888,021 56988888,Restoran,18/72/A
Mao Jia Cai,Jl. Gajah Mada Raya No. 174,T. Mao Jia CaiPt,Surya Halim,Jakarta Barat,,,Restoran,7/28/B
Marno's Café,Jl. Bandengan Selatan No. 14,CV. Dunia Baru,Sumarno,Jakarta Barat,,,Restoran,10/50/B
Marugame Udon,"Central Park-Podomoro City, Jl. Letjen. S.Parman",PT. Sriboga Marugame Indonesia,Budi Setiawan,Jakarta Barat,021 8306789,021 8306686,Restoran,40/112/A
Marutama Ra - Men,"Puri Indah Mall  Lt. 2 # SF-240 A, Jl. Puri Agung",PT. M. Ramen,Henky Rusli,Jakarta Barat,,,Restoran,22/48/B
Maxi Bistro Restaurant,Jl. Letjen.S.Parman Kav. 17-18,PT.Maxi Jaya Sentosa,Okim Suwarno,Jakarta Barat,021 91266345,021 5304002,Restoran,10/40/B
May Star,"Central Park, Jl. LetJend. S. Parman Kav. 28",PT. Abadi Makmur Jaya Sejahtera,Halim Juhanim,Jakarta Barat,,,Restoran,35/300/A
Mbah Jingkrak,Jl. Pesanggrahan No. 8,PT. Nailanisa Amanah,M. Omar Fazni,Jakarta Barat,021 5815460,021 5818459,Restoran,25/100/A
Mc Donalds,"Jl. Panjang, Jl. Raya Arteri Kelapa Dua No. 6",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,021 45856222,021 45856333,Restoran,20/80/A
Mc Donald's,"Mal Daan Mogot, Jl. Daan Mogot KM. 16 RT001",PT. Rekso Nasional Food,SUKOWATI SOSRODJOJO,Jakarta Barat,021 45856222,021 45856333,Restoran,45/114/A
Mc Donald's,Jl. Ruko Green Garden Blok I-9/1-2,PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,021 5260606,021 5821457,Restoran,68/136/A
Mc Donald's,"Taman Alfa, Jl. Raya Joglo RT009/RW003",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,021 45856199,021 45856191,Restoran,56/154/A
Mc Donald's,"Citra Garden City, Komp. Perum Citra 6 Blok L.3",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,,,Restoran,99/223/A
Mc Donald's,Jl. Daan Mogot,PT.Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,021 54382167,021 5432166,Restoran,45/114/A
Mc Donald's,"Komp. Perum Puri Indah, Jl. Puri Indah Raya ",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,,,Restoran,80/120/A
Mc Donald's,"Taman Alfa, Jl. Raya Joglo RT009/RW003",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,021 45856199,021 45856191,Restoran,56/154/A
Mc Donald's,THR Lokasari Blok B/38 & 40,PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,021 6252321,021 6254705,Restoran,40/86/A
Mc Donald's,"Mal Taman Anggrek, Jl. Letjen. S. Parman",PT. Rekso Nasional Food,SUKOWATI SOSRODJOJO,Jakarta Barat,021 45856199,021 4586191,Restoran,51/137/A
Metropolitan,Jl. Pesanggrahan No. 7 D.7 E RT011/RW003,,Surjadi Salikin,Jakarta Barat,,,Restoran,10/50/B
Michel's Patisserie,Jl. Letjen. S. Parman Kav. 28 Unit L.259 LG Floor,PT. Pangansari Utama,Lestari Moerdijat,Jakarta Barat,,,Restoran,10/36/B
Midori,Rukan Puri Niaga II Blok J. No. 2G,,Hariono,Jakarta Barat,,,Restoran,20/40/B
Mie Ayam Pinangsia,Jl. Pinangsia Raya No. 1-B,Mie Ayam Pinangsia,Joenoes Widjaya,Jakarta Barat,021 6266522,021 6266522,Restoran,16/64/A
Milles,"Lokasari Plaza Lt. IV, Jl. Mangga Besar Raya",PT. Hanggar Mega Musik Club,Setiadi Kumala,Jakarta Barat,021 6254703,021 6254704,Restoran,20/100/A
Ministry Of Beer,"Puri X'tertainment Pavilion St. Moritz, Jl. Puri Indah",PT. Mob Global Group,Michael Alamsjah,Jakarta Barat,021 6616377,021 6611056,Restoran,22/86/A
Mister Baso,Jl. Letjen. S.Parman Kav. 17 - 18,PT. Mister Baso Indonesia,Fenny Megalia Handoko,Jakarta Barat,,,Restoran,12/20/B
Mister Baso,Jl. Letjen. S.Parman Kav. 17 - 18,PT. Mister Baso Indonesia,Fenny Megalia Handoko,Jakarta Barat,,,Restoran,12/20/B
Mister Baso,Jl. Prof. Dr. Latumenten No. 33,,Setiawati Njauw,Jakarta Barat,,,Restoran,50/80/A
Mix Max,Jl. Mangga Besar Raya No.40 RT002/RW002,PT.Top Bread,Hami Wardimawati,Jakarta Barat,021 66203656,021 66203656,Restoran,12/48/B
Mixx Grill,"Central Park, Jl. Tanjung Duren Raya No. 5-9",PT. Jaddi Maxxindo Makmur,Danandjaja Wanandi,Jakarta Barat,,,Restoran,10/40/B
Mr. Locus,"Plaza Slipi Jaya, Jl. Letjen.S.Parman Kav. 17-18",PT. Locus Entertainment,Danil,Jakarta Barat,,,Restoran,4/16/C
Mr. Pancake,Jl. Puri Agung,CV. Pancake Cipta Rasa,Helmi Subiyanto,Jakarta Barat,021 5822582,021 5822583,Restoran,10/30/B
Nabemono Suki & Japanese Resto,Jl. Puri Kencana Blok M4 No. 1,PT. PANICE NUSANTARA BOGA,Ardiyanto Wirawan,Jakarta Barat,,,Restoran,10/40/B
Nan Xiang & Northen Chinese Cuisine,Jl. Gajah Mada No. 126,PT. Royal Citra Rasa,Christian,Jakarta Barat,021 56998550,021 56998551,Restoran,18/118/A
Nan Xiang & Northern Chinese Chisine,Jl. Hayam Wuruk No. 72,PT. Royal Citra Rasa,Anche Anthonius,Jakarta Barat,,,Restoran,18/118/A
Nan Xiang Steamed Bun,"Mal Taman Anggrek, Jl. Letjend. S. Parman",PT. Royal Citra Rasa,Christian,Jakarta Barat,,,Restoran,15/35/B
Nanny's Pavillon,Jl. Letjen. S.Parman Kav. 28,PT. Wanata Jaya Cipta,Melisa,Jakarta Barat,,,Restoran,10/50/B
Nanxiang &  Northern Chinese Cuisine,Jl. Gajah Mada No. 126 LG No. 07,PT. Royal Citra Rasa,Christian,Jakarta Barat,021 56998550,021 56998551,Restoran,18/118/A
Nasi Tim Baru,Jl. Raya Mangga Besar No. 38E,,Lilianty Susilo,Jakarta Barat,021 6495813,021 6495813,Restoran,12/70/A
New Town,Ruko Permata Lokasari Blok B No. 1,PT. Graha Indo Sejahtera,Sumiwa,Jakarta Barat,,,Restoran,/
New Town,Komp. THR Lokasari B/1-18 RT002/RW002,PT. Graha Indo Sejahtera,Suwiman,Jakarta Barat,,,Restoran,14/50/B
New Unicorn,Jl. Mangga Besar Raya Blok C No. 1,PT. Nuha Tritunggal Mulia Perkasa,Lyna Rusli,Jakarta Barat,021 6252328,,Restoran,15/150/A
Ni Hao,Jl. Komplek Perum Puri Indah,PT. Nihao Jaya Makmur,Herry Sugandhi,Jakarta Barat,021 5151999,021 5151999,Restoran,22/132/A
Ninety Nine,Jl. Pesanggrahan Raya No. 2 RT001/RW009,PT. Supra Boga Lestari,Nugroho Setiadharma,Jakarta Barat,021 58351999,021 58350999,Restoran,21/75/A
Noodle Café,Jl. Letjen. S. Parman,PT. Indo Resto Makmur,Hardy Widjaja,Jakarta Barat,021 5639090,021 5639151,Restoran,25/100/A
Nusa Indah,Jl. Bedugul Blok I A No. 3A - 5A,Teddy Poernomo Poetra,Teddy Poernomo Poetra,Jakarta Barat,,,Restoran,30/120/A
Oasis,Jl. Mangga Besar Raya No. 64B,PT. Mega Oasis Utama,Thio Tjun Hauw,Jakarta Barat,021 3150646,021 31937131,Restoran,6/24/B
